Wall time,Step,Value
1733147534.7387152,16384,72.07250213623047
1733147567.1063952,32768,58.01791000366211
1733147598.9911091,49152,41.95249938964844
1733147631.6278605,65536,30.750768661499023
1733147662.8068511,81920,26.604219436645508
1733147694.7558036,98304,25.97359848022461
1733147726.9404917,114688,34.29641342163086
1733147759.350939,131072,46.217002868652344
1733147791.5113494,147456,67.66810607910156
1733147823.8253698,163840,141.73939514160156
1733147856.0538094,180224,178.5356903076172
1733147888.3427238,196608,232.7183380126953
1733147920.7893918,212992,256.5411376953125
1733147952.5855415,229376,359.7746276855469
1733147984.3933842,245760,449.04736328125
1733148017.2617314,262144,469.20965576171875
1733148050.1632266,278528,444.540771484375
1733148082.9482427,294912,544.4429321289062
1733148117.8578036,311296,526.0634155273438
1733148150.4142892,327680,563.7418823242188
1733148183.833263,344064,623.471923828125
1733148217.9322608,360448,695.9319458007812
1733148253.917348,376832,763.859619140625
1733148289.5738504,393216,743.9219970703125
1733148323.1792967,409600,905.5524291992188
1733148356.3446465,425984,961.7067260742188
1733148389.4889276,442368,999.1251831054688
1733148423.1519623,458752,1043.515380859375
1733148455.3857074,475136,1081.4560546875
1733148487.644409,491520,1124.6690673828125
1733148522.4204648,507904,1203.028076171875
1733148556.6708405,524288,1129.148681640625
1733148589.5337288,540672,1154.0281982421875
1733148622.1790116,557056,1148.0531005859375
1733148655.383931,573440,1082.721435546875
1733148695.825589,589824,1066.448974609375
1733148736.8165982,606208,1055.9537353515625
1733148777.7109804,622592,988.1953735351562
1733148821.2291665,638976,969.255615234375
1733148866.07538,655360,1055.1156005859375
1733148910.6996193,671744,1035.1689453125
1733148955.5942743,688128,1056.68994140625
1733148998.2792075,704512,1146.406494140625
1733149044.1199586,720896,1109.7442626953125
1733149090.3237724,737280,1108.7777099609375
1733149136.3189197,753664,1116.5439453125
1733149180.9283733,770048,1061.5299072265625
1733149225.557409,786432,1069.608642578125
1733149268.8280218,802816,1072.1500244140625
1733149309.701799,819200,1087.088623046875
1733149349.6958513,835584,1046.4530029296875
1733149389.633086,851968,1042.0931396484375
1733149429.5903914,868352,1124.214599609375
1733149469.026393,884736,1108.515869140625
1733149508.8010607,901120,1154.9512939453125
1733149549.044382,917504,1249.535400390625
1733149589.3056257,933888,1250.824462890625
1733149629.6033115,950272,1306.98046875
1733149669.3667061,966656,1322.05908203125
1733149709.5270915,983040,1346.028076171875
1733149749.3110566,999424,1350.6346435546875
1733149789.031023,1015808,1369.9166259765625
1733149829.3081727,1032192,1412.80517578125
1733149869.3794856,1048576,1430.29345703125
1733149909.6203706,1064960,1454.953857421875
1733149949.8121016,1081344,1468.4368896484375
1733149989.3330986,1097728,1458.8018798828125
1733150029.1713107,1114112,1448.5137939453125
1733150069.070667,1130496,1458.48486328125
1733150108.9696958,1146880,1483.9700927734375
1733150149.0339324,1163264,1495.942626953125
1733152055.2064488,1179648,1494.218505859375
1733152093.7275305,1196032,1481.029296875
1733152132.4339886,1212416,1454.970947265625
1733152171.1790051,1228800,1447.85107421875
1733152210.204772,1245184,1405.71630859375
1733152249.9622083,1261568,1413.6761474609375
1733152291.3837247,1277952,1408.8306884765625
1733152331.1978507,1294336,1414.22607421875
1733152371.6450431,1310720,1447.4029541015625
1733152411.496835,1327104,1419.4552001953125
1733152451.7344534,1343488,1385.8724365234375
1733152491.913561,1359872,1384.1485595703125
1733152530.1588252,1376256,1402.8531494140625
1733152570.497848,1392640,1433.343994140625
1733152610.204294,1409024,1442.3568115234375
1733152649.6490517,1425408,1444.78125
1733152688.7132723,1441792,1397.5985107421875
1733152727.7811098,1458176,1408.3616943359375
1733152770.2612317,1474560,1382.4632568359375
1733152813.4923954,1490944,1358.228271484375
1733152856.6899784,1507328,1385.839111328125
1733152899.7116132,1523712,1348.943359375
1733152942.6237345,1540096,1353.4632568359375
1733152983.1986065,1556480,1343.7886962890625
1733153023.5381207,1572864,1335.706787109375
1733153062.8890915,1589248,1337.33056640625
1733153103.2022033,1605632,1394.7835693359375
1733153143.5241277,1622016,1377.341552734375
1733153183.5540802,1638400,1378.76123046875
1733153223.6962457,1654784,1424.00830078125
1733153264.3042777,1671168,1429.4853515625
1733153304.6211212,1687552,1454.5103759765625
1733153344.8432288,1703936,1475.680419921875
1733153385.1112158,1720320,1478.8292236328125
1733153428.038205,1736704,1487.4852294921875
1733153467.7247927,1753088,1484.4957275390625
1733153506.5031374,1769472,1393.3824462890625
1733153545.3749292,1785856,1416.28515625
1733153583.714076,1802240,1361.9527587890625
1733153622.3047655,1818624,1375.3182373046875
1733153660.8458414,1835008,1355.30078125
1733153699.758467,1851392,1271.2977294921875
1733153738.7720258,1867776,1276.9676513671875
1733153778.0424774,1884160,1276.390869140625
1733153816.9127152,1900544,1340.8731689453125
1733153856.8949046,1916928,1324.820068359375
1733153898.5184176,1933312,1400.142333984375
1733153940.0838773,1949696,1416.176513671875
1733153982.0252512,1966080,1436.22216796875
1733154022.6474948,1982464,1487.7010498046875
1733154064.8884013,1998848,1450.2698974609375
1733154107.9457695,2015232,1446.6116943359375
